Year,Units,Местность,Регионы,GeoCode,Value
2015,процент,,,,58.9
2016,процент,,,,69.2
2017,процент,,,,79.4
2018,процент,,,,81.5
2015,процент,городское население,,,67.1
2016,процент,городское население,,,66.1
2017,процент,городское население,,,66.0
2018,процент,городское население,,,66.4
2015,процент,сельское население,,,32.9
2016,процент,сельское население,,,33.9
2017,процент,сельское население,,,34.0
2018,процент,сельское население,,,33.6
2015,процент,,Акмолинская,KZ03,60.4
2016,процент,,Акмолинская,KZ03,60.0
2017,процент,,Акмолинская,KZ03,72.8
2018,процент,,Акмолинская,KZ03,75.8
2015,процент,,Актюбинская,KZ04,58.7
2016,процент,,Актюбинская,KZ04,70.5
2017,процент,,Актюбинская,KZ04,86.7
2018,процент,,Актюбинская,KZ04,88.0
2015,процент,,Алматинская,KZ01,67.2
2016,процент,,Алматинская,KZ01,78.5
2017,процент,,Алматинская,KZ01,85.5
2018,процент,,Алматинская,KZ01,89.4
2015,процент,,Атырауская,KZ06,68.2
2016,процент,,Атырауская,KZ06,73.1
2017,процент,,Атырауская,KZ06,82.8
2018,процент,,Атырауская,KZ06,82.8
2015,процент,,Западно-Казахстанская,KZ07,86.5
2016,процент,,Западно-Казахстанская,KZ07,92.1
2017,процент,,Западно-Казахстанская,KZ07,96.7
2018,процент,,Западно-Казахстанская,KZ07,95.0
2015,процент,,Жамбылская,KZ17,72.4
2016,процент,,Жамбылская,KZ17,91.0
2017,процент,,Жамбылская,KZ17,99.2
2018,процент,,Жамбылская,KZ17,97.4
2015,процент,,Карагандинская,KZ12,57.9
2016,процент,,Карагандинская,KZ12,66.8
2017,процент,,Карагандинская,KZ12,72.4
2018,процент,,Карагандинская,KZ12,83.6
2015,процент,,Костанайская,KZ13,62.9
2016,процент,,Костанайская,KZ13,79.0
2017,процент,,Костанайская,KZ13,78.6
2018,процент,,Костанайская,KZ13,78.8
2015,процент,,Кызылординская,KZ14,32.1
2016,процент,,Кызылординская,KZ14,62.1
2017,процент,,Кызылординская,KZ14,71.6
2018,процент,,Кызылординская,KZ14,75.1
2015,процент,,Мангистауская,KZ09,26.6
2016,процент,,Мангистауская,KZ09,83.8
2017,процент,,Мангистауская,KZ09,92.2
2018,процент,,Мангистауская,KZ09,97.1
2015,процент,,Южно-Казахстанская,KZ10,81.2
2016,процент,,Южно-Казахстанская,KZ10,86.0
2017,процент,,Южно-Казахстанская,KZ10,95.6
2015,процент,,Павлодарская,KZ11,32.1
2016,процент,,Павлодарская,KZ11,63.7
2017,процент,,Павлодарская,KZ11,74.5
2018,процент,,Павлодарская,KZ11,77.0
2015,процент,,Северо-Казахстанская,KZ16,51.5
2016,процент,,Северо-Казахстанская,KZ16,64.0
2017,процент,,Северо-Казахстанская,KZ16,73.7
2018,процент,,Северо-Казахстанская,KZ16,74.8
2018,процент,,Туркестанская,KZ10,98.9
2015,процент,,Восточно-Казахстанская,KZ15,43.0
2016,процент,,Восточно-Казахстанская,KZ15,56.2
2017,процент,,Восточно-Казахстанская,KZ15,62.6
2018,процент,,Восточно-Казахстанская,KZ15,63.0
2015,процент,,г_Нур-Султан,KZ05,46.8
2016,процент,,г_Нур-Султан,KZ05,36.0
2017,процент,,г_Нур-Султан,KZ05,76.2
2018,процент,,г_Нур-Султан,KZ05,75.6
2015,процент,,г_Алматы,KZ02,59.9
2016,процент,,г_Алматы,KZ02,58.6
2017,процент,,г_Алматы,KZ02,64.6
2018,процент,,г_Алматы,KZ02,63.6
2018,процент,,г_Шымкент,KZ18,98.5
