Year,Observation status,Sex,Unit measure,Unit multiplier,Value
2007,Normal value,,"Per 100,000 population",Units,115.478276
2008,Normal value,,"Per 100,000 population",Units,106.340082
2009,Normal value,,"Per 100,000 population",Units,103.932976
2010,Normal value,,"Per 100,000 population",Units,101.138775
2011,Normal value,,"Per 100,000 population",Units,100.367124
2012,Normal value,,"Per 100,000 population",Units,104.342194
2013,Normal value,,"Per 100,000 population",Units,102.43272
2014,Normal value,,"Per 100,000 population",Units,101.065558
2015,Normal value,,"Per 100,000 population",Units,98.249685
2016,Normal value,,"Per 100,000 population",Units,93.423511
2017,Normal value,,"Per 100,000 population",Units,90.6
2007,Normal value,Female,"Per 100,000 population",Units,91.061332
2008,Normal value,Female,"Per 100,000 population",Units,85.809103
2009,Normal value,Female,"Per 100,000 population",Units,85.417204
2010,Normal value,Female,"Per 100,000 population",Units,84.9
2011,Normal value,Female,"Per 100,000 population",Units,81.94725
2012,Normal value,Female,"Per 100,000 population",Units,85.223608
2013,Normal value,Female,"Per 100,000 population",Units,87.8
2014,Normal value,Female,"Per 100,000 population",Units,88.7
2015,Normal value,Female,"Per 100,000 population",Units,83.7
2016,Normal value,Female,"Per 100,000 population",Units,81.7
2017,Normal value,Female,"Per 100,000 population",Units,77.7
2007,Normal value,Male,"Per 100,000 population",Units,140.46199
2008,Normal value,Male,"Per 100,000 population",Units,127.338423
2009,Normal value,Male,"Per 100,000 population",Units,122.936319
2010,Normal value,Male,"Per 100,000 population",Units,117.8
2011,Normal value,Male,"Per 100,000 population",Units,119.256007
2012,Normal value,Male,"Per 100,000 population",Units,123.922984
2013,Normal value,Male,"Per 100,000 population",Units,117.4
2014,Normal value,Male,"Per 100,000 population",Units,113.7
2015,Normal value,Male,"Per 100,000 population",Units,113.1
2016,Normal value,Male,"Per 100,000 population",Units,105.3
2017,Normal value,Male,"Per 100,000 population",Units,103.8
2007,Normal value,,"Per 100,000 population",Units,80.315042
2008,Normal value,,"Per 100,000 population",Units,81.679899
2009,Normal value,,"Per 100,000 population",Units,82.704723
2010,Normal value,,"Per 100,000 population",Units,81.83755
2011,Normal value,,"Per 100,000 population",Units,78.880836
2012,Normal value,,"Per 100,000 population",Units,90.334237
2013,Normal value,,"Per 100,000 population",Units,90.032265
2014,Normal value,,"Per 100,000 population",Units,86.073371
2015,Normal value,,"Per 100,000 population",Units,72.743563
2016,Normal value,,"Per 100,000 population",Units,67.061001
2017,Normal value,,"Per 100,000 population",Units,70.8
2007,Normal value,Female,"Per 100,000 population",Units,70.837249
2008,Normal value,Female,"Per 100,000 population",Units,67.323067
2009,Normal value,Female,"Per 100,000 population",Units,81.332337
2010,Normal value,Female,"Per 100,000 population",Units,62.3
2011,Normal value,Female,"Per 100,000 population",Units,63.9
2012,Normal value,Female,"Per 100,000 population",Units,79.7
2013,Normal value,Female,"Per 100,000 population",Units,81
2014,Normal value,Female,"Per 100,000 population",Units,78.8
2015,Normal value,Female,"Per 100,000 population",Units,63.1
2016,Normal value,Female,"Per 100,000 population",Units,66.6
2017,Normal value,Female,"Per 100,000 population",Units,65.7
2007,Normal value,Male,"Per 100,000 population",Units,89.745096
2008,Normal value,Male,"Per 100,000 population",Units,95.98673
2009,Normal value,Male,"Per 100,000 population",Units,84.03016
2010,Normal value,Male,"Per 100,000 population",Units,100.8
2011,Normal value,Male,"Per 100,000 population",Units,93.4
2012,Normal value,Male,"Per 100,000 population",Units,100.7
2013,Normal value,Male,"Per 100,000 population",Units,98.8
2014,Normal value,Male,"Per 100,000 population",Units,93.2
2015,Normal value,Male,"Per 100,000 population",Units,82
2016,Normal value,Male,"Per 100,000 population",Units,67.5
2017,Normal value,Male,"Per 100,000 population",Units,75.7
2007,Normal value,,"Per 100,000 population",Units,91.916186
2008,Normal value,,"Per 100,000 population",Units,88.339312
2009,Normal value,,"Per 100,000 population",Units,87.787489
2010,Normal value,,"Per 100,000 population",Units,85.931674
2011,Normal value,,"Per 100,000 population",Units,82.549369
2012,Normal value,,"Per 100,000 population",Units,86.910818
2013,Normal value,,"Per 100,000 population",Units,80.886516
2014,Normal value,,"Per 100,000 population",Units,85.34428
2015,Normal value,,"Per 100,000 population",Units,76.512241
2016,Normal value,,"Per 100,000 population",Units,84.915163
2017,Normal value,,"Per 100,000 population",Units,80.2
2007,Normal value,Female,"Per 100,000 population",Units,75.21801
2008,Normal value,Female,"Per 100,000 population",Units,71.207543
2009,Normal value,Female,"Per 100,000 population",Units,71.790057
2010,Normal value,Female,"Per 100,000 population",Units,74.3
2011,Normal value,Female,"Per 100,000 population",Units,72.983333
2012,Normal value,Female,"Per 100,000 population",Units,75.789204
2013,Normal value,Female,"Per 100,000 population",Units,74.3
2014,Normal value,Female,"Per 100,000 population",Units,81.8
2015,Normal value,Female,"Per 100,000 population",Units,66.2
2016,Normal value,Female,"Per 100,000 population",Units,79.5
2017,Normal value,Female,"Per 100,000 population",Units,72.8
2007,Normal value,Male,"Per 100,000 population",Units,108.757553
2008,Normal value,Male,"Per 100,000 population",Units,105.621764
2009,Normal value,Male,"Per 100,000 population",Units,103.75711
2010,Normal value,Male,"Per 100,000 population",Units,97.6
2011,Normal value,Male,"Per 100,000 population",Units,92.090531
2012,Normal value,Male,"Per 100,000 population",Units,97.991089
2013,Normal value,Male,"Per 100,000 population",Units,87.5
2014,Normal value,Male,"Per 100,000 population",Units,88.8
2015,Normal value,Male,"Per 100,000 population",Units,86.7
2016,Normal value,Male,"Per 100,000 population",Units,90.3
2017,Normal value,Male,"Per 100,000 population",Units,87.5
2007,Normal value,,"Per 100,000 population",Units,74.818397
2008,Normal value,,"Per 100,000 population",Units,65.710142
2009,Normal value,,"Per 100,000 population",Units,68.260473
2010,Normal value,,"Per 100,000 population",Units,67.280621
2011,Normal value,,"Per 100,000 population",Units,68.345501
2012,Normal value,,"Per 100,000 population",Units,70.114091
2013,Normal value,,"Per 100,000 population",Units,69.963198
2014,Normal value,,"Per 100,000 population",Units,63.962325
2015,Normal value,,"Per 100,000 population",Units,58.459621
2016,Normal value,,"Per 100,000 population",Units,60.411219
2017,Normal value,,"Per 100,000 population",Units,48.6
2007,Normal value,Female,"Per 100,000 population",Units,57.509562
2008,Normal value,Female,"Per 100,000 population",Units,56.84919
2009,Normal value,Female,"Per 100,000 population",Units,57.58451
2010,Normal value,Female,"Per 100,000 population",Units,55
2011,Normal value,Female,"Per 100,000 population",Units,53.747679
